<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,,PRICE,TOTAL,TOTALIF,IF,
01.09.2020,12:47:00,110151,115265,108119,113491,27,,"111756,5","3017425,5",,1,1
01.09.2020,12:48:00,114393,115080,107916,108091,36,,111370,4009320,,0,0
01.09.2020,12:49:00,112921,115298,107953,114919,91,,"112772,75","10262320,25",,1,1
01.09.2020,12:50:00,113110,114999,107974,112590,90,,"112168,25","10095142,5",,0,0
01.09.2020,12:51:00,111680,115024,107918,113834,29,,112114,3251306,,1,1
01.09.2020,12:52:00,109047,115058,108049,112476,88,,"111157,5",9781860,,1,1
01.09.2020,12:53:00,111305,114957,107919,114276,49,,"112114,25","5493598,25",,1,1
01.09.2020,12:54:00,112472,115207,107903,108948,87,,"111132,5","9668527,5",,0,0
01.09.2020,12:55:00,114009,115211,107946,115198,86,,113091,9725826,,1,1
01.09.2020,12:56:00,109979,115205,107902,113569,12,,"111663,75",1339965,,1,1
01.09.2020,12:57:00,108664,115207,107928,114831,88,,"111657,5",9825860,,1,1
01.09.2020,12:58:00,109256,115165,107929,111669,89,,"111004,75","9879422,75",,1,1
01.09.2020,12:59:00,108857,115018,108121,111058,54,,"110763,5",5981229,,1,1
01.09.2020,13:00:00,114534,115274,107948,108962,97,,"111679,5","10832911,5",,0,0
01.09.2020,13:01:00,109853,115244,107915,112779,49,,"111447,75","5460939,75",,1,1
01.09.2020,13:02:00,112387,115212,108018,110661,90,,"111569,5",10041255,,0,0
01.09.2020,13:03:00,111053,115275,108092,111534,35,,"111488,5","3902097,5",,1,1
01.09.2020,13:04:00,113375,115267,108011,109377,80,,"111507,5",8920600,,0,0
01.09.2020,13:06:00,113973,115121,107994,112350,69,,"112359,5","7752805,5",,0,0
01.09.2020,13:07:00,114852,115218,107997,110951,66,,"112254,5",7408797,,0,0
01.09.2020,13:08:00,111409,115266,108003,108003,90,,"110670,25","9960322,5",,0,0
01.09.2020,13:09:00,113527,114965,108305,111416,34,,"112053,25","3809810,5",,0,0
01.09.2020,13:10:00,111893,115246,108191,114748,94,,"112519,5",10576833,,1,1
01.09.2020,13:11:00,109659,115292,108267,111155,2,,"111093,25","222186,5",,1,1
01.09.2020,13:12:00,107947,115184,107947,114735,14,,"111453,25","1560345,5",,1,1
01.09.2020,13:13:00,109632,115002,108077,110150,14,,"110715,25","1550013,5",,1,1
01.09.2020,13:14:00,108326,115085,108326,112284,58,,"111005,25","6438304,5",,1,1
01.09.2020,13:15:00,113761,115005,107964,110996,7,,"111931,5","783520,5",,0,0
01.09.2020,13:16:00,113535,115252,107960,109923,69,,"111667,5","7705057,5",,0,0
01.09.2020,13:17:00,114368,114845,108094,109757,97,,111766,10841302,,0,0
01.09.2020,13:18:00,113131,115290,107906,111690,67,,"112004,25","7504284,75",,0,0
01.09.2020,13:19:00,108742,115201,108091,110379,48,,"110603,25",5308956,,1,1
01.09.2020,13:20:00,108390,115279,107905,115232,34,,"111701,5",3797851,,1,1
01.09.2020,13:21:00,108664,114985,107939,111914,44,,"110875,5",4878522,,1,1
01.09.2020,13:22:00,108913,115235,108116,109436,84,,110425,9275700,,1,1
01.09.2020,13:23:00,111210,115276,108244,114407,71,,"112284,25","7972181,75",,1,1
01.09.2020,13:24:00,108800,115208,108123,113260,17,,"111347,75","1892911,75",,1,1
01.09.2020,13:25:00,114595,115229,108155,108897,10,,111719,1117190,,0,0
01.09.2020,13:26:00,112731,114987,108020,111880,79,,"111904,5","8840455,5",,0,0
01.09.2020,13:27:00,114903,115228,108183,111116,92,,"112357,5",10336890,,0,0
01.09.2020,13:28:00,113815,115242,108085,110862,91,,112001,10192091,,0,0
01.09.2020,13:29:00,113652,115269,107951,109748,22,,111655,2456410,,0,0
01.09.2020,13:30:00,113402,115277,107916,109296,90,,"111472,75","10032547,5",,0,0
01.09.2020,13:31:00,110543,115252,108660,108986,71,,"110860,25","7871077,75",,0,0
01.09.2020,13:32:00,109997,115289,108147,111485,35,,"111229,5","3893032,5",,1,1
01.09.2020,13:33:00,110083,115105,107973,111510,91,,"111167,75","10116265,25",,1,1
01.09.2020,13:34:00,111493,115238,107988,112547,21,,"111816,5","2348146,5",,1,1
01.09.2020,13:35:00,109225,115252,107926,114936,49,,"111834,75","5479902,75",,1,1
01.09.2020,13:36:00,114283,115209,107985,112443,98,,112480,11023040,,0,0
01.09.2020,13:37:00,110846,115292,107961,110916,59,,"111253,75","6563971,25",,1,1
01.09.2020,13:38:00,114468,115149,108061,109378,51,,111764,5699964,,0,0
01.09.2020,13:39:00,111823,115267,107938,108410,15,,"110859,5","1662892,5",,0,0
01.09.2020,13:40:00,111245,115181,107921,111481,5,,111457,557285,,1,1
01.09.2020,13:41:00,109047,115158,107929,108409,38,,"110135,75","4185158,5",,0,0
01.09.2020,13:42:00,109766,115249,107903,112169,58,,"111271,75","6453761,5",,1,1
01.09.2020,13:43:00,114111,115260,108137,113663,11,,"112792,75","1240720,25",,0,0
01.09.2020,13:44:00,112797,115296,107937,114500,24,,"112632,5",2703180,,1,1
01.09.2020,13:45:00,114509,115289,107910,112859,66,,"112641,75","7434355,5",,0,0
01.09.2020,13:46:00,108196,115171,107944,112739,68,,"111012,5",7548850,,1,1
01.09.2020,13:47:00,111304,115297,108094,112614,21,,"111827,25","2348372,25",,1,1
01.09.2020,13:48:00,112311,115264,108290,110872,15,,"111684,25","1675263,75",,0,0
01.09.2020,13:49:00,108133,115156,107998,113751,52,,"111259,5",5785494,,1,1
01.09.2020,13:50:00,110428,115209,107951,109318,27,,"110726,5","2989615,5",,0,0
01.09.2020,13:51:00,113993,115259,108354,108738,15,,111586,1673790,,0,0
01.09.2020,13:52:00,110304,115134,108106,114266,55,,"111952,5","6157387,5",,1,1
01.09.2020,13:53:00,108596,115082,107911,108752,53,,"110085,25","5834518,25",,1,1
01.09.2020,13:54:00,114645,115222,107964,113037,9,,112717,1014453,,0,0
01.09.2020,13:55:00,114116,115285,108067,108500,55,,111492,6132060,,0,0
01.09.2020,13:56:00,109509,114958,107925,109600,31,,110498,3425438,,1,1
01.09.2020,13:57:00,113870,115255,107957,114034,16,,112779,1804464,,1,1
01.09.2020,13:58:00,112764,114883,108040,111150,64,,"111709,25",7149392,,0,0
01.09.2020,13:59:00,112607,115050,107966,114329,87,,112488,9786456,,1,1
01.09.2020,14:00:00,111350,114946,107906,109929,60,,"111032,75",6661965,,0,0
01.09.2020,14:01:00,108165,115238,108165,114758,58,,"111581,5",6471727,,1,1
01.09.2020,14:02:00,115283,115283,107931,113539,19,,113009,2147171,,0,0
01.09.2020,14:03:00,108512,115293,107924,115293,8,,"111755,5",894044,,1,1
01.09.2020,14:04:00,108303,115154,108042,108678,34,,"110044,25","3741504,5",,1,1
01.09.2020,14:06:00,109111,115232,107982,110188,34,,"110628,25","3761360,5",,1,1
01.09.2020,14:07:00,114019,115175,107920,113933,39,,"112761,75","4397708,25",,0,0
01.09.2020,14:08:00,108858,115125,108270,108645,58,,"110224,5",6393021,,0,0
01.09.2020,14:09:00,113711,115220,107948,111926,18,,"112201,25","2019622,5",,0,0
01.09.2020,14:10:00,113838,115227,108053,108053,56,,"111292,75",6232394,,0,0
01.09.2020,14:11:00,108630,115221,107938,113909,5,,"111424,5","557122,5",,1,1
01.09.2020,14:12:00,111284,115163,107970,109386,35,,"110950,75","3883276,25",,0,0
01.09.2020,14:13:00,111798,114639,107948,111628,87,,"111503,25","9700782,75",,0,0
01.09.2020,14:14:00,115048,115248,108051,113446,93,,"112948,25","10504187,25",,0,0
01.09.2020,14:15:00,113199,115268,107916,112712,7,,"112273,75","785916,25",,0,0
01.09.2020,14:16:00,108550,115259,107902,108662,21,,"110093,25","2311958,25",,1,1
01.09.2020,14:17:00,108359,115245,107946,110147,19,,"110424,25","2098060,75",,1,1
01.09.2020,14:18:00,113350,114946,107900,111742,86,,"111984,5",9630667,,0,0
01.09.2020,14:19:00,108869,115098,108048,115098,9,,"111778,25","1006004,25",,1,1
01.09.2020,14:20:00,110264,114984,107922,108283,94,,"110363,25","10374145,5",,0,0
01.09.2020,14:21:00,108988,115287,108026,112712,9,,"111253,25","1001279,25",,1,1
01.09.2020,14:22:00,111085,115134,107922,111555,32,,111424,3565568,,1,1
01.09.2020,14:23:00,112595,115019,108042,110612,22,,111567,2454474,,0,0
01.09.2020,14:24:00,110046,115087,107917,109648,50,,"110674,5",5533725,,0,0
01.09.2020,14:25:00,111563,115229,107959,114044,18,,"112198,75","2019577,5",,1,1
01.09.2020,14:26:00,115278,115278,108293,113904,43,,"113188,25","4867094,75",,0,0
01.09.2020,14:27:00,113465,115214,107999,111877,14,,"112138,75","1569942,5",,0,0
01.09.2020,14:29:00,111001,115050,108228,108228,1,,"110626,75","110626,75",,0,0
01.09.2020,14:30:00,112626,115219,108218,113166,79,,"112307,25","8872272,75",,1,1
01.09.2020,14:31:00,111647,114935,108084,112440,48,,"111776,5",5365272,,1,1
01.09.2020,14:32:00,111103,115286,107900,110635,38,,111231,4226778,,0,0
01.09.2020,14:33:00,114084,115089,107980,113638,31,,"112697,75","3493630,25",,0,0
01.09.2020,14:34:00,110962,115256,108237,113946,48,,"112100,25",5380812,,1,1
01.09.2020,14:35:00,107919,115155,107919,114219,11,,111303,1224333,,1,1
01.09.2020,14:36:00,110701,115283,108020,109636,57,,110910,6321870,,0,0
01.09.2020,14:37:00,108982,115211,108081,109700,42,,"110493,5",4640727,,1,1
01.09.2020,14:38:00,115016,115264,108205,114153,49,,"113159,5","5544815,5",,0,0
01.09.2020,14:39:00,112305,115178,108017,113622,93,,"112280,5","10442086,5",,1,1
01.09.2020,14:40:00,113430,115267,107911,109860,23,,111617,2567191,,0,0
01.09.2020,14:41:00,108894,115143,108216,108800,45,,"110263,25","4961846,25",,0,0
01.09.2020,14:42:00,108220,115280,108060,114397,55,,"111489,25","6131908,75",,1,1
01.09.2020,14:43:00,110531,115284,108075,112765,37,,"111663,75","4131558,75",,1,1
01.09.2020,14:44:00,113686,115186,108009,114954,78,,"112958,75","8810782,5",,1,1
01.09.2020,14:45:00,113285,114853,107925,109258,51,,"111330,25","5677842,75",,0,0
01.09.2020,14:46:00,111003,115158,107935,113160,61,,111814,6820654,,1,1
01.09.2020,14:47:00,112596,115191,108046,108072,46,,"110976,25","5104907,5",,0,0
01.09.2020,14:48:00,110756,115125,107968,112082,10,,"111482,75","1114827,5",,1,1
01.09.2020,14:49:00,114251,115261,107913,110747,38,,112043,4257634,,0,0
01.09.2020,14:50:00,110066,115292,108079,114834,24,,"112067,75",2689626,,1,1
01.09.2020,14:51:00,111971,115274,108329,114346,69,,112480,7761120,,1,1
01.09.2020,14:52:00,111581,115127,108173,113266,64,,"112036,75",7170352,,1,1
01.09.2020,14:53:00,109888,115278,107930,114005,46,,"111775,25","5141661,5",,1,1
01.09.2020,14:54:00,113078,115238,108088,109350,33,,"111438,5","3677470,5",,0,0
01.09.2020,14:55:00,115078,115111,107904,108599,30,,111673,3350190,,0,0
01.09.2020,14:56:00,109447,115195,107950,113185,97,,"111444,25","10810092,25",,1,1
01.09.2020,14:57:00,108587,115256,107904,111314,49,,"110765,25","5427497,25",,1,1
01.09.2020,14:58:00,110178,115153,107958,109784,80,,"110768,25",8861460,,0,0
01.09.2020,14:59:00,115156,115295,108047,113218,14,,112929,1581006,,0,0
01.09.2020,15:00:00,109161,115252,108164,108282,49,,"110214,75","5400522,75",,0,0
01.09.2020,15:01:00,107947,114925,107947,113985,66,,111201,7339266,,1,1
01.09.2020,15:02:00,110737,115288,107948,110678,73,,"111162,75","8114880,75",,0,0
01.09.2020,15:03:00,109838,115228,107919,108962,96,,"110486,75",10606728,,0,0
01.09.2020,15:04:00,112294,115097,108155,113874,71,,112355,7977205,,1,1
01.09.2020,15:05:00,108073,115291,108050,113434,14,,111212,1556968,,1,1
01.09.2020,15:06:00,113634,115281,107904,113428,22,,"112561,75","2476358,5",,0,0
01.09.2020,15:07:00,113580,115271,108004,115095,16,,"112987,5",1807800,,1,1
01.09.2020,15:08:00,109511,115115,107953,113744,85,,"111580,75","9484363,75",,1,1
01.09.2020,15:09:00,108180,115260,107913,111593,43,,"110736,5","4761669,5",,1,1
01.09.2020,15:10:00,113238,115248,108056,112868,74,,"112352,5",8314085,,0,0
01.09.2020,15:11:00,111219,115268,107956,108540,82,,"110745,75","9081151,5",,0,0
01.09.2020,15:12:00,110095,115089,107980,114113,3,,"111819,25","335457,75",,1,1
01.09.2020,15:13:00,114300,115134,107901,111703,1,,"112259,5","112259,5",,0,0
01.09.2020,15:14:00,110242,115197,108121,110992,81,,111138,9002178,,1,1
01.09.2020,15:15:00,108645,115232,108034,110004,65,,"110478,75","7181118,75",,1,1
01.09.2020,15:16:00,110279,115199,107957,111781,61,,111304,6789544,,1,1
01.09.2020,15:17:00,112083,115234,107969,115234,78,,112630,8785140,,1,1
01.09.2020,15:18:00,114126,115195,108022,113099,36,,"112610,5",4053978,,0,0
01.09.2020,15:19:00,112664,115192,108238,114562,82,,112664,9238448,,1,1
01.09.2020,15:20:00,111212,115224,107913,109898,4,,"111061,75",444247,,0,0
01.09.2020,15:21:00,108681,115245,108293,113754,48,,"111493,25",5351676,,1,1
01.09.2020,15:22:00,112782,115180,108061,108761,75,,111196,8339700,,0,0
01.09.2020,15:23:00,113007,115216,108126,112972,23,,"112330,25","2583595,75",,0,0
01.09.2020,15:24:00,109312,115249,108090,114308,72,,"111739,75",8045262,,1,1
